id,first_name,last_name,full_name,country,ranking,movement,ranking_points
1121322,Nick,Hardt,Nick Hardt,Dominican Republic,210,+1,274
1066128,Cosano,Barranco,Cosano Barranco,Spain,211,+1,271
2303958,Mark,Lajal,Mark Lajal,Estonia,212,+12,270
306612,Batalla,Roca,Batalla Roca,Spain,213,-5,266
1380306,Filip,Jianu,Filip Jianu,Romania,214,-1,262
1204674,Ugo,Blanchet,Ugo Blanchet,France,215,-1,261
1123320,Nicolas,Mejia,Nicolas Mejia,Colombia,216,-1,260
219582,Denis,Kudla,Denis Kudla,USA,217,+5,259
484002,Marc,Polmans,Marc Polmans,Australia,218,+13,258
2005770,Ethan,Quinn,Ethan Quinn,USA,219,-3,257
305094,Denis,Yevseyev,Denis Yevseyev,Kazakhstan,220,-3,256
311322,Xin,Gao,Xin Gao,China,221,+634,16
1225986,Yu,Hsu,Yu Hsu,Chinese Taipei,221,+14,256
788664,Michael,Mmoh,Michael Mmoh,USA,222,-3,255
297990,Antoine,Escoffier,Antoine Escoffier,France,223,-3,255
86436,David,Ferrer,David Ferrer,Spain,224,,220
1302828,Yuta,Shimizu,Yuta Shimizu,Japan,224,+23,254
